application_id,investor,investor_name
13ef3f5a-fb3e-46c9-ad1d-aefc5c17bcc5,53,EDBI
e6e7bf67-a2a0-4d67-a0cf-137d4c6dde87,102,Level Equity
3fa5a381-57cf-40a7-ac29-5c306293a346,193,Y Combinator
3fa5a381-57cf-40a7-ac29-5c306293a346,19,Andreessen Horowitz-a16z
3fa5a381-57cf-40a7-ac29-5c306293a346,63,Flex Capital
3fa5a381-57cf-40a7-ac29-5c306293a346,86,Holman Growth Ventures
3fa5a381-57cf-40a7-ac29-5c306293a346,150,Scale Angels Fund
3fa5a381-57cf-40a7-ac29-5c306293a346,179,Unpopular Ventures
d98b6a3c-c90a-4137-a775-1c046a95146a,30,Benchmark Capital
d98b6a3c-c90a-4137-a775-1c046a95146a,112,Mayfield Fund
d98b6a3c-c90a-4137-a775-1c046a95146a,142,Rocketship
d98b6a3c-c90a-4137-a775-1c046a95146a,164,Snowflake Ventures
e393b3a3-8ff0-4020-ace7-5cc271b0cd56,25,B Capital Group
5283fa31-9971-4785-b4b8-6d0bf606cf46,60,Felicis Ventures
c0806336-1fe8-4bdc-ade6-945ea9f40461,193,Y Combinator
c0806336-1fe8-4bdc-ade6-945ea9f40461,72,Global Brain
c0806336-1fe8-4bdc-ade6-945ea9f40461,161,SignalFire
c0806336-1fe8-4bdc-ade6-945ea9f40461,166,Spero Ventures
c0806336-1fe8-4bdc-ade6-945ea9f40461,202,礼来Eli Lilly
c0806336-1fe8-4bdc-ade6-945ea9f40461,136,Purdue Ventures
c0806336-1fe8-4bdc-ade6-945ea9f40461,64,Ford Street Capital
c0806336-1fe8-4bdc-ade6-945ea9f40461,91,Innospark Ventures
c0806336-1fe8-4bdc-ade6-945ea9f40461,2,2048 Ventures
c0806336-1fe8-4bdc-ade6-945ea9f40461,23,Asymmetry Ventures
c0806336-1fe8-4bdc-ade6-945ea9f40461,41,Cartography Cap
c0806336-1fe8-4bdc-ade6-945ea9f40461,75,Good AI Capital
c0806336-1fe8-4bdc-ade6-945ea9f40461,107,MBX Capital
cb615c21-f298-452d-a5b9-a027e178db90,90,Index Ventures
cb615c21-f298-452d-a5b9-a027e178db90,19,Andreessen Horowitz-a16z
cb615c21-f298-452d-a5b9-a027e178db90,7,Abstract Ventures
c1686938-147b-4860-8a8f-fd0ee7ba7505,104,Lux Capital
c1686938-147b-4860-8a8f-fd0ee7ba7505,126,Obvious Ventures
c1686938-147b-4860-8a8f-fd0ee7ba7505,20,Andreessen Horowitz（a16z）Bio+Health
c1686938-147b-4860-8a8f-fd0ee7ba7505,18,Amino Collective
c1686938-147b-4860-8a8f-fd0ee7ba7505,43,Character
c1686938-147b-4860-8a8f-fd0ee7ba7505,144,S32
c1efbd66-556f-4076-974d-db5d68038cba,125,Northzone Ventures
c1efbd66-556f-4076-974d-db5d68038cba,71,General Catalyst Partners
c1efbd66-556f-4076-974d-db5d68038cba,1,1984 Ventures
c1efbd66-556f-4076-974d-db5d68038cba,96,Kaiser Permanente Ventures
c1efbd66-556f-4076-974d-db5d68038cba,14,AlleyCorp
c1efbd66-556f-4076-974d-db5d68038cba,173,TMCVF
85ff6567-2791-41b0-9cdf-3a8e03b3d91f,143,Roo Partners
85ff6567-2791-41b0-9cdf-3a8e03b3d91f,147,SaaS Ventures
85ff6567-2791-41b0-9cdf-3a8e03b3d91f,141,Riptide Ventures
85ff6567-2791-41b0-9cdf-3a8e03b3d91f,109,Main Growth Partners
b76413c0-246c-4b86-84bc-674f1b56701c,154,Seeds Capital
b76413c0-246c-4b86-84bc-674f1b56701c,178,Tin Men Capital
b76413c0-246c-4b86-84bc-674f1b56701c,187,Wavemaker Ventures
8b98efb8-0bb1-47b3-9741-79faebf042e5,206,贝恩资本BainCapital
b1dccd78-214b-450e-8c91-8a7588239769,103,Lightspeed Venture Partners光速全球
b1dccd78-214b-450e-8c91-8a7588239769,113,Menlo Ventures
b1dccd78-214b-450e-8c91-8a7588239769,25,B Capital Group
56cd2a6c-1043-4fa4-b65b-4b2767634312,101,Larry Ellison
56cd2a6c-1043-4fa4-b65b-4b2767634312,11,Aguras Pathology Investments
dd01739d-0204-4414-a7e2-373a391f6d25,98,Khosla Ventures
dd01739d-0204-4414-a7e2-373a391f6d25,50,Dentsu Ventures
dd01739d-0204-4414-a7e2-373a391f6d25,191,Wipro Ventures
dd01739d-0204-4414-a7e2-373a391f6d25,15,Alumni Ventures Group
dd01739d-0204-4414-a7e2-373a391f6d25,135,Prosperity7 Ventures
dd01739d-0204-4414-a7e2-373a391f6d25,57,Engineering Capital
96d21c55-4249-4858-bf64-0c3b9078586d,139,Redpoint Ventures红点全球基金
96d21c55-4249-4858-bf64-0c3b9078586d,88,Iconiq Capital
96d21c55-4249-4858-bf64-0c3b9078586d,193,Y Combinator
96d21c55-4249-4858-bf64-0c3b9078586d,30,Benchmark Capital
96d21c55-4249-4858-bf64-0c3b9078586d,71,General Catalyst Partners
0f69e936-6b9f-4e7e-a0cf-1063886fdd41,19,Andreessen Horowitz-a16z
0f69e936-6b9f-4e7e-a0cf-1063886fdd41,156,Sequoia Capital红杉
0f69e936-6b9f-4e7e-a0cf-1063886fdd41,205,谷歌Google
0f69e936-6b9f-4e7e-a0cf-1063886fdd41,77,Greenoaks Capital Management
0f69e936-6b9f-4e7e-a0cf-1063886fdd41,203,英伟达NVIDIA
8f96f090-aa1b-493e-a004-c6445129e9d6,206,贝恩资本BainCapital
8f96f090-aa1b-493e-a004-c6445129e9d6,19,Andreessen Horowitz-a16z
8f96f090-aa1b-493e-a004-c6445129e9d6,7,Abstract Ventures
89079823-fbac-4561-9732-192c47baac3a,169,Sutter Hill Ventures
89079823-fbac-4561-9732-192c47baac3a,37,Canaan Partners
89079823-fbac-4561-9732-192c47baac3a,112,Mayfield Fund
89079823-fbac-4561-9732-192c47baac3a,186,WVC
34116efe-5826-4473-9e1a-50963860a160,105,M Ventures
34116efe-5826-4473-9e1a-50963860a160,6,ARM IoT Capital
34116efe-5826-4473-9e1a-50963860a160,115,Motus Ventures
34116efe-5826-4473-9e1a-50963860a160,197,eLab Ventures
34116efe-5826-4473-9e1a-50963860a160,83,HarbourVest
8cfb82a1-050d-4a63-96a1-2e3395778186,8,Accel Partners
8cfb82a1-050d-4a63-96a1-2e3395778186,19,Andreessen Horowitz-a16z
8cfb82a1-050d-4a63-96a1-2e3395778186,113,Menlo Ventures
8cfb82a1-050d-4a63-96a1-2e3395778186,21,Anthology Fund
8cfb82a1-050d-4a63-96a1-2e3395778186,160,Shopify Ventures
8cfb82a1-050d-4a63-96a1-2e3395778186,61,Figma Ventures
8cfb82a1-050d-4a63-96a1-2e3395778186,174,The General Partnership
903d3a70-706c-4087-aad1-fdac9c9379a2,184,Venrock Healthcare Capital Partners
903d3a70-706c-4087-aad1-fdac9c9379a2,120,Neotribe Ventures
903d3a70-706c-4087-aad1-fdac9c9379a2,92,Innovius Capital
903d3a70-706c-4087-aad1-fdac9c9379a2,94,KPMG Ventures
903d3a70-706c-4087-aad1-fdac9c9379a2,57,Engineering Capital
903d3a70-706c-4087-aad1-fdac9c9379a2,155,Sentinel Global
903d3a70-706c-4087-aad1-fdac9c9379a2,49,Dell Technologies Capital
dc9453ad-7116-4723-a3d4-61fdd82b062f,99,Kleiner Perkins Caufield & Byers(KPCB全球)
dc9453ad-7116-4723-a3d4-61fdd82b062f,56,Emergence Capital Partners
dc9453ad-7116-4723-a3d4-61fdd82b062f,148,Salesforce
dc9453ad-7116-4723-a3d4-61fdd82b062f,71,General Catalyst Partners
dc9453ad-7116-4723-a3d4-61fdd82b062f,104,Lux Capital
dc9453ad-7116-4723-a3d4-61fdd82b062f,203,英伟达NVIDIA
dc9453ad-7116-4723-a3d4-61fdd82b062f,135,Prosperity7 Ventures
738a99ab-76bd-4f76-b573-3b734b75e25f,81,Hamilton Lane
738a99ab-76bd-4f76-b573-3b734b75e25f,74,Golub Capital
738a99ab-76bd-4f76-b573-3b734b75e25f,73,Goldman Sachs Alternatives
738a99ab-76bd-4f76-b573-3b734b75e25f,34,Broadhaven Ventures
738a99ab-76bd-4f76-b573-3b734b75e25f,31,Blackstone Innovations Investments
7cb3ffa8-555e-43d6-a003-467741609b9b,47,DST Global
7cb3ffa8-555e-43d6-a003-467741609b9b,60,Felicis Ventures
7cb3ffa8-555e-43d6-a003-467741609b9b,30,Benchmark Capital
7cb3ffa8-555e-43d6-a003-467741609b9b,71,General Catalyst Partners
2f042eca-2aed-40e5-98f2-83ac0b80ebef,149,Samsung Ventures三星
2f042eca-2aed-40e5-98f2-83ac0b80ebef,177,Tiger Global老虎海外
2f042eca-2aed-40e5-98f2-83ac0b80ebef,151,Scout Ventures
2f042eca-2aed-40e5-98f2-83ac0b80ebef,14,AlleyCorp
2f042eca-2aed-40e5-98f2-83ac0b80ebef,22,Anzu Partners
2f042eca-2aed-40e5-98f2-83ac0b80ebef,145,SIP Global Partners
2f042eca-2aed-40e5-98f2-83ac0b80ebef,111,Maverick Silicon
2f042eca-2aed-40e5-98f2-83ac0b80ebef,44,Constellation Technology Ventures
2f042eca-2aed-40e5-98f2-83ac0b80ebef,35,CTBC Capital
2f042eca-2aed-40e5-98f2-83ac0b80ebef,185,VentureTech Alliance
2f042eca-2aed-40e5-98f2-83ac0b80ebef,182,Vanderbilt University
3b445aae-3810-4fdb-9210-5bf23ee2bb1d,162,Smash Capital
3b445aae-3810-4fdb-9210-5bf23ee2bb1d,181,Valor Equity Partners
3b445aae-3810-4fdb-9210-5bf23ee2bb1d,24,Atreides Management
3b445aae-3810-4fdb-9210-5bf23ee2bb1d,9,Adobe Ventures
3b445aae-3810-4fdb-9210-5bf23ee2bb1d,28,BainCap VC
69729450-ede7-404b-b71d-9bbc7fb3a873,206,贝恩资本BainCapital
69729450-ede7-404b-b71d-9bbc7fb3a873,8,Accel Partners
69729450-ede7-404b-b71d-9bbc7fb3a873,33,Bond Capital
69729450-ede7-404b-b71d-9bbc7fb3a873,4,ACME Ventures
c0c7cdd8-091e-44d0-b76a-35f97102421f,47,DST Global
c0c7cdd8-091e-44d0-b76a-35f97102421f,206,贝恩资本BainCapital
c0c7cdd8-091e-44d0-b76a-35f97102421f,196,eBay
c0c7cdd8-091e-44d0-b76a-35f97102421f,203,英伟达NVIDIA
c0c7cdd8-091e-44d0-b76a-35f97102421f,100,LG集团
c0c7cdd8-091e-44d0-b76a-35f97102421f,201,汇丰创投
72ec27cc-e561-4cd2-85a3-c765afe62e1b,62,First Round Capital
72ec27cc-e561-4cd2-85a3-c765afe62e1b,19,Andreessen Horowitz-a16z
72ec27cc-e561-4cd2-85a3-c765afe62e1b,106,M13
72ec27cc-e561-4cd2-85a3-c765afe62e1b,121,NewView Capital
7e54fdf9-a206-4958-9f2f-5a3f9d0c9db9,193,Y Combinator
7e54fdf9-a206-4958-9f2f-5a3f9d0c9db9,126,Obvious Ventures
7e54fdf9-a206-4958-9f2f-5a3f9d0c9db9,133,Prelude Ventures
7e54fdf9-a206-4958-9f2f-5a3f9d0c9db9,114,Metaplanet Holdings
7e54fdf9-a206-4958-9f2f-5a3f9d0c9db9,129,Piva Capital
6bfad417-d4b9-417a-8b8f-29684e33df74,38,Canvas Ventures
6bfad417-d4b9-417a-8b8f-29684e33df74,180,Valor Capital Group
6bfad417-d4b9-417a-8b8f-29684e33df74,17,American Family Ventures
6bfad417-d4b9-417a-8b8f-29684e33df74,110,Manchester Story
6bfad417-d4b9-417a-8b8f-29684e33df74,80,HC9 Ventures
6bfad417-d4b9-417a-8b8f-29684e33df74,137,QED Holdings
c298b134-c207-4410-97c2-6d948e929b88,204,英特尔投资Intel Capital
c298b134-c207-4410-97c2-6d948e929b88,117,NEA恩颐投资-New Enterprise Associates
c298b134-c207-4410-97c2-6d948e929b88,19,Andreessen Horowitz-a16z
c298b134-c207-4410-97c2-6d948e929b88,5,AMD
c298b134-c207-4410-97c2-6d948e929b88,203,英伟达NVIDIA
c298b134-c207-4410-97c2-6d948e929b88,138,Radical Ventures
