company,revenue_q1,revenue_q2,growth_rate,predicted_sales
"	EDARAN BERHAD","31,096,000","34,470,000",0.1085,"34,321,000"
NEXG BERHAD,"81,020,000","97,901,000",0.2084,"103,775,000"
ZEN TECH INTERNATIONAL BERHAD,"12,517,000","15,533,000",0.2410,"13,681,000"
K-ONE TECHNOLOGY BERHAD,"58,023,000","54,056,000",-0.0684,"58,466,000"
MALAYSIAN PACIFIC INDUSTRIES BERHAD,"516,571,000","530,499,000",0.0270,"519,904,000"
ARB BERHAD,"34,100,000","59,508,000",0.7451,"106,000,000"
CENSOF HOLDINGS BERHAD,"27,934,000","26,383,000",-0.0555,"24,873,000"
"	YGL CONVERGENCE BERHAD","3,039,507","3,768,991",0.2400,"3,319,665"
MTOUCHE TECHNOLOGY BERHAD,"7,222,000","1,666,000",-0.7693,"1,434,000"
MIKRO MSC BERHAD,"14,963,355","16,841,731",0.1255,"18,189,007"
REXIT BERHAD,"8,370,000","7,396,000",-0.1164,"7,913,000"
TT VISION HOLDINGS BERHAD,"10,580,000","14,282,000",0.3499,"15,315,000"
DATAPREP HOLDINGS BHD,"5,476,000","6,178,000",0.1282,"10,699,000"
HARVEST MIRACLE CAPITAL BERHAD,"31,520,000","30,798,000",-0.0229,"39,638,000"
"	PRIVASIA TECHNOLOGY BERHAD","24,621,716","10,853,791",-0.5592,"15,652,019"
CATCHA DIGITAL BERHAD,"11,142,000","10,839,000",-0.0272,"9,486,000"
MMS VENTURES BERHAD,"9,941,703","5,714,842",-0.4252,"9,097,788"
GREATECH TECHNOLOGY BERHAD,"188,792,000","205,836,000",0.0903,"175,386,000"
ITMAX SYSTEM BERHAD,"58,018,000","63,128,000",0.0881,"50,725,000"
MLABS SYSTEMS BERHAD,"7,704,000","5,150,000",-0.3315,"6,930,000"
TFP SOLUTIONS BERHAD,"798,000","1,033,000",0.2945,"760,000"
KUCHAI DEVELOPMENT BERHAD,"1,023,000","5,210,000",4.0929,"5,471,000"
PANDA ECO SYSTEM BERHAD,"8,132,000","8,289,000",0.0193,"8,004,000"
NOTION VTEC BERHAD,"147,108,000","125,956,000",-0.1438,"116,391,000"
"	AUTOCOUNT DOTCOM BERHAD","18,351,000","14,917,000",-0.1871,"25,554,000"
MBSB BERHAD,"947,500,000","905,009,000",-0.0448,"868,022,000"
IFCA MSC BERHAD,"30,080,119","28,240,148",-0.0612,"20,590,084"
AWANBIRU TECHNOLOGY BERHAD,"6,541,000","5,349,000",-0.1822,"63,732,000"
SUPERCOMNET TECHNOLOGIES BERHAD,"37,284,000","38,185,000",0.0242,"34,044,000"
OPPSTAR BERHAD,"21,715,000","22,502,000",0.0362,"6,296,000"
TECHNODEX BHD,"11,023,000","13,712,000",0.2439,"12,097,000"
EVD BERHAD,"4,381,000","6,202,000",0.4157,"8,775,000"
CUSCAPI BERHAD,"9,992,120","9,106,865",-0.0886,"7,317,483"
JF TECHNOLOGY BERHAD,"9,959,000","11,471,000",0.1518,"10,551,000"
THETA EDGE BERHAD,"13,419,000","14,712,000",0.0964,"4,690,000"
WILLOWGLEN MSC BERHAD,"50,787,000","59,071,000",0.1631,"40,383,000"
JCY INTERNATIONAL BERHAD,"167,505,000","126,320,000",-0.2459,"108,489,000"
MY E.G. SERVICES BERHAD,"248,131,000","293,525,000",0.1829,"299,985,000"
